,Title,Director,Actors,Rating,Revenue (Millions),fb_likes,yt_likes_ratio
95,The Nice Guys,Shane Black,"Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer",7.4,36.25,109555,26.083475298126064
96,Kimi no na wa,Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yuki",8.6,4.68,180968,101.9507299270073
97,The Void,Jeremy Gillespie,"Aaron Poole, Kenneth Welsh,Daniel Fathers, Kathleen Munroe",5.8,0.15,28502,16.358870967741936
98,Personal Shopper,Olivier Assayas,"Kristen Stewart, Lars Eidinger, Sigrid Bouaziz,Anders Danielsen Lie",6.3,1.29,146117,10.817739975698663
99,The Departed,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",8.5,132.37,2007613,34.90909090909091
100,Legend,Brian Helgeland,"Tom Hardy, Emily Browning, Taron Egerton, Paul Anderson",7.0,1.87,229782,28.785445420326223
101,Thor,Kenneth Branagh,"Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston",7.0,181.02,12846261,23.093192840445205
102,The Martian,Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara",8.0,228.43,685359,30.36503683858004
103,Contratiempo,Oriol Paulo,"Mario Casas, Ana Wagener, José Coronado, Bárbara Lennie",7.9,,1062,14.655844155844155
104,The Man from U.N.C.L.E.,Guy Ritchie,"Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki",7.3,45.43,214158,35.71833084947839
105,Hell or High Water,David Mackenzie,"Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham",7.7,26.86,94876,33.76100628930818
106,The Comedian,Taylor Hackford,"Robert De Niro, Leslie Mann, Danny DeVito, Edie Falco",5.4,1.66,0,112.08
107,The Legend of Tarzan,David Yates,"Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz",6.3,126.59,595308,18.12401746724891
108,All We Had,Katie Holmes,"Eve Lindley, Richard Kind, Mark Consuelos, Katherine Reis",5.8,,4319,4.788649706457925
109,Ex Machina,Alex Garland,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac,Sonoya Mizuno",7.7,25.44,248096,23.687888198757765
110,The Belko Experiment,Greg McLean,"John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley",6.3,10.16,129675,16.81150159744409
111,12 Years a Slave,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt",8.1,56.67,839462,21.902608695652173
112,The Bad Batch,Ana Lily Amirpour,"Keanu Reeves, Jason Momoa, Jim Carrey, Diego Luna",6.1,,10668,4.418558343289526
113,300,Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West",7.7,210.59,10476627,14.155555555555555
114,Harry Potter and the Deathly Hallows: Part 2,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon",8.1,380.96,9090,49.73587786259542
115,Office Christmas Party,Josh Gordon,"Jason Bateman, Olivia Munn, T.J. Miller,Jennifer Aniston",5.8,54.73,274367,17.600694444444443
116,The Neon Demon,Nicolas Winding Refn,"Elle Fanning, Christina Hendricks, Keanu Reeves, Karl Glusman",6.2,1.33,143850,8.356576100024045
117,Dangal,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh,Sanya Malhotra",8.8,11.15,46798,10.1572696908276
118,10 Cloverfield Lane,Dan Trachtenberg,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin",7.2,71.9,338169,27.505686789151355
119,Finding Dory,Andrew Stanton,"Ellen DeGeneres, Albert Brooks,Ed O'Neill, Kaitlin Olson",7.4,486.29,3057892,28.97020725388601
120,Miss Peregrine's Home for Peculiar Children,Tim Burton,"Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench",6.7,87.24,1114914,58.2795156407669
121,Divergent,Neil Burger,"Shailene Woodley, Theo James, Kate Winslet, Jai Courtney",6.7,150.83,5837294,24.883262659017213
122,Mike and Dave Need Wedding Dates,Jake Szymanski,"Zac Efron, Adam Devine, Anna Kendrick, Aubrey Plaza",6.0,46.01,147407,13.443678160919541
123,Boyka: Undisputed IV,Todor Chapkanov,"Scott Adkins, Teodora Duhovnikova, Alon Aboutboul, Julian Vergov",7.4,,348,30.47378640776699
124,The Dark Knight Rises,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway,Gary Oldman",8.5,448.13,271064,29.125156054931335
125,The Jungle Book,Jon Favreau,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba",7.5,364.0,1251379,17.21794134560092
126,Transformers: Age of Extinction,Michael Bay,"Mark Wahlberg, Nicola Peltz, Jack Reynor, Stanley Tucci",5.7,245.43,32947434,18.138379204892967
127,Nerve,Henry Joost,"Emma Roberts, Dave Franco, Emily Meade, Miles Heizer",6.6,38.56,656614,20.02931596091205
128,Mamma Mia!,Phyllida Lloyd,"Meryl Streep, Pierce Brosnan, Amanda Seyfried,Stellan Skarsgård",6.4,143.7,2828594,24.681818181818183
129,The Revenant,Alejandro González Iñárritu,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson",8.0,183.64,1077231,31.331925165962584
130,Fences,Denzel Washington,"Denzel Washington, Viola Davis, Stephen Henderson, Jovan Adepo",7.3,57.64,197824,34.65352697095436
131,Into the Woods,Rob Marshall,"Anna Kendrick, Meryl Streep, Chris Pine, Emily Blunt",6.0,128.0,16120,16.273873873873875
132,The Shallows,Jaume Collet-Serra,"Blake Lively, Óscar Jaenada, Angelo Josue Lozano Corzo, Brett Cullen",6.4,55.12,842543,8.507662082514734
133,Whiplash,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser",8.5,13.09,408923,29.836893203883495
134,Furious 6,Justin Lin,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez",7.1,238.67,60746265,23.09668912979783
135,The Place Beyond the Pines,Derek Cianfrance,"Ryan Gosling, Bradley Cooper, Eva Mendes,Craig Van Hook",7.3,21.38,30816,27.874172185430464
136,No Country for Old Men,Ethan Coen,"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",8.1,74.27,1185279,31.887755102040817
137,The Great Gatsby,Baz Luhrmann,"Leonardo DiCaprio, Carey Mulligan, Joel Edgerton,Tobey Maguire",7.3,144.81,1921992,20.275427542754276
138,Shutter Island,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo,Ben Kingsley",8.1,127.97,1825608,33.47142857142857
139,Brimstone,Martin Koolhoven,"Dakota Fanning, Guy Pearce, Kit Harington,Carice van Houten",7.1,,5034,13.991978609625669
140,Star Trek,J.J. Abrams,"Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy",8.0,257.7,3770922,33.69491525423729
141,Diary of a Wimpy Kid,Thor Freudenthal,"Zachary Gordon, Robert Capron, Rachael Harris,Steve Zahn",6.2,64.0,2587921,18.71969696969697
142,The Big Short,Adam McKay,"Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt",7.8,70.24,223606,25.22843822843823
