,Title,Director,Actors,Rating,Revenue (Millions),fb_likes,yt_likes_ratio
187,Crimson Peak,Guillermo del Toro,"Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam",6.6,31.06,605917,36.49609375
188,Drive,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks",7.8,35.05,822873,19.876470588235293
189,Trainwreck,Judd Apatow,"Amy Schumer, Bill Hader, Brie Larson, Colin Quinn",6.3,110.01,540083,4.680555555555555
190,The Light Between Oceans,Derek Cianfrance,"Michael Fassbender, Alicia Vikander, Rachel Weisz, Florence Clery",7.2,12.53,5431,83.58620689655173
191,Below Her Mouth,April Mullen,"Erika Linder, Natalie Krill, Sebastian Pigott, Mayko Nguyen",5.6,,16632,0.0
192,Spotlight,Tom McCarthy,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber",8.1,44.99,165623,29.247524752475247
193,Morgan,Luke Scott,"Kate Mara, Anya Taylor-Joy, Rose Leslie, Michael Yare",5.8,3.91,39652,13.2012987012987
194,Warrior,Gavin O'Connor,"Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison",8.2,13.65,1707,28.682795698924732
195,Captain America: The First Avenger,Joe Johnston,"Chris Evans, Hugo Weaving, Samuel L. Jackson,Hayley Atwell",6.9,176.64,16289764,24.061611374407583
196,Hacker,Akan Satayev,"Callan McAuliffe, Lorraine Nicholson, Daniel Eric Gold, Clifton Collins Jr.",6.3,,34600,20.09433962264151
197,Into the Wild,Sean Penn,"Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden",8.1,18.35,400455,0.0
198,The Imitation Game,Morten Tyldum,"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech",8.1,91.12,219056,41.98489425981873
199,Central Intelligence,Rawson Marshall Thurber,"Dwayne Johnson, Kevin Hart, Danielle Nicolet, Amy Ryan",6.3,127.38,407464,32.93073929961089
200,Edge of Tomorrow,Doug Liman,"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson",7.9,100.19,688191,16.755926724137932
201,A Cure for Wellness,Gore Verbinski,"Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi",6.5,8.1,78472,12.935051546391753
202,Snowden,Oliver Stone,"Joseph Gordon-Levitt, Shailene Woodley, Melissa Leo,Zachary Quinto",7.3,21.48,191242,16.002896152254863
203,Iron Man,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges",7.9,318.3,19162039,35.15384615384615
204,Allegiant,Robert Schwentke,"Shailene Woodley, Theo James, Jeff Daniels,Naomi Watts",5.7,66.0,5837294,16.175373134328357
205,X: First Class,Matthew Vaughn,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon",7.8,146.41,14328359,23.570579494799407
206,Raw (II),Julia Ducournau,"Garance Marillier, Ella Rumpf, Rabah Nait Oufella,Laurent Lucas",7.5,0.51,14664,7.9868421052631575
207,Paterson,Jim Jarmusch,"Adam Driver, Golshifteh Farahani, Nellie, Rizwan Manji",7.5,2.14,33876,16.463195691202873
208,Bridesmaids,Paul Feig,"Kristen Wiig, Maya Rudolph, Rose Byrne, Terry Crews",6.8,169.08,4285,11.88
209,The Girl with All the Gifts,Colm McCarthy,"Gemma Arterton, Glenn Close, Dominique Tipper,Paddy Considine",6.7,,0,21.515389652914212
210,San Andreas,Brad Peyton,"Dwayne Johnson, Carla Gugino, Alexandra Daddario,Colton Haynes",6.1,155.18,946262,16.13412228796844
211,Spring Breakers,Harmony Korine,"Vanessa Hudgens, Selena Gomez, Ashley Benson,Rachel Korine",5.3,14.12,1080884,6.019178082191781
212,Transformers,Michael Bay,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",7.1,318.76,32947434,9.0
213,Old Boy,Spike Lee,"Josh Brolin, Elizabeth Olsen, Samuel L. Jackson, Sharlto Copley",5.8,,31265,31.825396825396826
214,Thor: The Dark World,Alan Taylor,"Chris Hemsworth, Natalie Portman, Tom Hiddleston,Stellan Skarsgård",7.0,206.36,12846260,26.162743506493506
215,Gods of Egypt,Alex Proyas,"Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman",5.5,31.14,518886,4.327452639802096
216,Captain America: The Winter Soldier,Anthony Russo,"Chris Evans, Samuel L. Jackson,Scarlett Johansson, Robert Redford",7.8,259.75,16289764,24.465138190954775
217,Monster Trucks,Chris Wedge,"Lucas Till, Jane Levy, Thomas Lennon, Barry Pepper",5.7,33.04,156408,6.612171052631579
218,A Dark Song,Liam Gavin,"Mark Huberman, Susan Loughnane, Steve Oram,Catherine Walker",6.1,,2689,6.854304635761589
219,Kick-Ass,Matthew Vaughn,"Aaron Taylor-Johnson, Nicolas Cage, Chloë Grace Moretz, Garrett M. Brown",7.7,48.04,447840,21.1
220,Hardcore Henry,Ilya Naishuller,"Sharlto Copley, Tim Roth, Haley Bennett, Danila Kozlovsky",6.7,9.24,219629,24.84065934065934
221,Cars,John Lasseter,"Owen Wilson, Bonnie Hunt, Paul Newman, Larry the Cable Guy",7.1,244.05,17975576,18.744817927170867
222,It Follows,David Robert Mitchell,"Maika Monroe, Keir Gilchrist, Olivia Luccardi,Lili Sepe",6.9,14.67,151572,12.902483900643974
223,The Girl with the Dragon Tattoo,David Fincher,"Daniel Craig, Rooney Mara, Christopher Plummer,Stellan Skarsgård",7.8,102.52,572731,19.85185185185185
224,We're the Millers,Rawson Marshall Thurber,"Jason Sudeikis, Jennifer Aniston, Emma Roberts, Ed Helms",7.0,150.37,737067,18.561014263074483
225,American Honey,Andrea Arnold,"Sasha Lane, Shia LaBeouf, Riley Keough, McCaul Lombardi",7.0,0.66,55082,6.771111111111111
226,The Lobster,Yorgos Lanthimos,"Colin Farrell, Rachel Weisz, Jessica Barden,Olivia Colman",7.1,8.7,132612,20.894915254237286
227,Predators,Nimród Antal,"Adrien Brody, Laurence Fishburne, Topher Grace,Alice Braga",6.4,52.0,0,24.58407079646018
228,Maleficent,Robert Stromberg,"Angelina Jolie, Elle Fanning, Sharlto Copley,Lesley Manville",7.0,241.41,7482504,19.12019969278034
229,Rupture,Steven Shainberg,"Noomi Rapace, Michael Chiklis, Kerry Bishé,Peter Stormare",4.8,,5042,9.110671936758893
230,Pan's Labyrinth,Guillermo del Toro,"Ivana Baquero, Ariadna Gil, Sergi López,Maribel Verdú",8.2,37.62,860240,19.453488372093023
231,A Kind of Murder,Andy Goddard,"Patrick Wilson, Jessica Biel, Haley Bennett, Vincent Kartheiser",5.2,0.0,1559,6.7272727272727275
232,Apocalypto,Mel Gibson,"Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández,Rudy Youngblood",7.8,50.86,1175601,13.369888475836431
233,Mission: Impossible - Rogue Nation,Christopher McQuarrie,"Tom Cruise, Rebecca Ferguson, Jeremy Renner, Simon Pegg",7.4,195.0,3365240,27.49330085261876
234,The Huntsman: Winter's War,Cedric Nicolas-Troyan,"Chris Hemsworth, Jessica Chastain, Charlize Theron, Emily Blunt",6.1,47.95,4942772,29.80451866404715
235,The Perks of Being a Wallflower,Stephen Chbosky,"Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd",8.0,17.74,1731822,68.21100917431193
236,Jackie,Pablo Larraín,"Natalie Portman, Peter Sarsgaard, Greta Gerwig,Billy Crudup",6.8,13.96,77293,37.33057851239669
237,The Disappointments Room,D.J. Caruso,"Kate Beckinsale, Mel Raido, Duncan Joiner, Lucas Till",3.9,2.41,28043,9.051194539249147
238,The Grand Budapest Hotel,Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric,Adrien Brody",8.1,59.07,629246,36.893704850361196
239,The Host,Andrew Niccol,"Saoirse Ronan, Max Irons, Jake Abel, Diane Kruger",5.9,26.62,756860,17.68369351669941
240,Fury,David Ayer,"Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña",7.6,85.71,947830,22.732394366197184
241,Inside Out,Pete Docter,"Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling",8.2,356.45,942586,21.377450980392158
242,Rock Dog,Ash Brannon,"Luke Wilson, Eddie Izzard, J.K. Simmons, Lewis Black",5.8,9.4,14485,6.734672304439746
243,Terminator Genisys,Alan Taylor,"Arnold Schwarzenegger, Jason Clarke, Emilia Clarke,Jai Courtney",6.5,89.73,1486395,8.583924123395287
244,Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,"Logan Lerman, Kevin McKidd, Steve Coogan,Brandon T. Jackson",5.9,88.76,1957719,14.133016627078385
245,Les Misérables,Tom Hooper,"Hugh Jackman, Russell Crowe, Anne Hathaway,Amanda Seyfried",7.6,148.78,23845,25.997435897435896
246,Children of Men,Alfonso Cuarón,"Julianne Moore, Clive Owen, Chiwetel Ejiofor,Michael Caine",7.9,35.29,299964,24.58712121212121
247,20th Century Women,Mike Mills,"Annette Bening, Elle Fanning, Greta Gerwig, Billy Crudup",7.4,5.66,42225,36.91826923076923
248,Spy,Paul Feig,"Melissa McCarthy, Rose Byrne, Jude Law, Jason Statham",7.1,110.82,335460,24.74025974025974
249,The Intouchables,Olivier Nakache,"François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot",8.6,13.18,735750,49.64985163204748
250,Bonjour Anne,Eleanor Coppola,"Diane Lane, Alec Baldwin, Arnaud Viard, Linda Gegusch",4.9,0.32,0,6.608775137111517
251,Kynodontas,Yorgos Lanthimos,"Christos Stergioglou, Michele Valley, Angeliki Papoulia, Hristos Passalis",7.3,0.11,28264,6.734939759036145
252,Straight Outta Compton,F. Gary Gray,"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell,Neil Brown Jr.",7.9,161.03,2965202,33.31548757170172
253,The Amazing Spider-Man 2,Marc Webb,"Andrew Garfield, Emma Stone, Jamie Foxx, Paul Giamatti",6.7,202.85,20603632,38.950980392156865
254,The Conjuring,James Wan,"Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor",7.5,137.39,4644571,13.120706575073601
255,The Hangover,Todd Phillips,"Zach Galifianakis, Bradley Cooper, Justin Bartha, Ed Helms",7.8,277.31,20013772,24.4
256,Battleship,Peter Berg,"Alexander Skarsgård, Brooklyn Decker, Liam Neeson,Rihanna",5.8,65.17,2231455,11.57699443413729
257,Rise of the Planet of the Apes,Rupert Wyatt,"James Franco, Andy Serkis, Freida Pinto, Karin Konoval",7.6,176.74,4376738,17.29310344827586
258,Lights Out,David F. Sandberg,"Teresa Palmer, Gabriel Bateman, Maria Bello,Billy Burke",6.4,67.24,604642,18.03669467787115
259,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Joseph Cedar,"Richard Gere, Lior Ashkenazi, Michael Sheen,Charlotte Gainsbourg",7.1,2.27,304,7.8
260,Birdman or (The Unexpected Virtue of Ignorance),Alejandro González Iñárritu,"Michael Keaton, Zach Galifianakis,Edward Norton, Andrea Riseborough",7.8,42.34,337935,8.462834126693519
261,Black Swan,Darren Aronofsky,"Natalie Portman, Mila Kunis, Vincent Cassel,Winona Ryder",8.0,106.95,3492181,20.315555555555555
262,Dear White People,Justin Simien,"Tyler James Williams, Tessa Thompson, Kyle Gallner,Teyonah Parris",6.2,4.4,40689,2.208771402823671
263,Nymphomaniac: Vol. I,Lars von Trier,"Charlotte Gainsbourg, Stellan Skarsgård, Stacy Martin, Shia LaBeouf",7.0,0.79,225296,5.080310880829016
264,Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green,"Megan Fox, Will Arnett, Tyler Perry, Laura Linney",6.0,0.54,2707274,14.36088295687885
265,Knock Knock,Eli Roth,"Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns",4.9,0.03,58570,4.631908831908832
266,Dirty Grandpa,Dan Mazer,"Robert De Niro, Zac Efron, Zoey Deutch, Aubrey Plaza",6.0,35.54,236657,13.719895287958115
267,Cloud Atlas,Tom Tykwer,"Tom Hanks, Halle Berry, Hugh Grant, Hugo Weaving",7.5,27.1,233,27.2351108033241
268,X-Men Origins: Wolverine,Gavin Hood,"Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston",6.7,179.88,14328359,25.393939393939394
269,Satanic,Jeffrey G. Hunt,"Sarah Hyland, Steven Krueger, Justin Chon, Clara Mamet",3.7,,311102,2.1517671517671517
270,Skyfall,Sam Mendes,"Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench",7.8,304.36,242142,23.230334637114296
271,The Hobbit: An Unexpected Journey,Peter Jackson,"Martin Freeman, Ian McKellen, Richard Armitage,Andy Serkis",7.9,303.0,7343723,36.017353579175705
272,21 Jump Street,Phil Lord,"Jonah Hill, Channing Tatum, Ice Cube,Brie Larson",7.2,138.45,3745843,14.561688311688311
273,Sing Street,John Carney,"Ferdia Walsh-Peelo, Aidan Gillen, Maria Doyle Kennedy, Jack Reynor",8.0,3.23,94060,67.69364161849711
274,Ballerina,Eric Summer,"Elle Fanning, Dane DeHaan, Carly Rae Jepsen, Maddie Ziegler",6.8,,23540,20.02676659528908
275,Oblivion,Joseph Kosinski,"Tom Cruise, Morgan Freeman, Andrea Riseborough, Olga Kurylenko",7.0,89.02,384131,19.191666666666666
276,22 Jump Street,Phil Lord,"Channing Tatum, Jonah Hill, Ice Cube,Nick Offerman",7.1,191.62,3745843,48.175879396984925
277,Zodiac,David Fincher,"Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo,Anthony Edwards",7.7,33.05,1836,0.0
278,Everybody Wants Some!!,Richard Linklater,"Blake Jenner, Tyler Hoechlin, Ryan Guzman,Zoey Deutch",7.0,3.37,73924,8.098522167487685
279,Iron Man Three,Shane Black,"Robert Downey Jr., Guy Pearce, Gwyneth Paltrow,Don Cheadle",7.2,408.99,19162040,20.592788971367973
280,Now You See Me,Louis Leterrier,"Jesse Eisenberg, Common, Mark Ruffalo, Woody Harrelson",7.3,117.7,2926211,30.83076923076923
281,Sherlock Holmes,Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong",7.6,209.02,9622284,32.29577464788732
282,Death Proof,Quentin Tarantino,"Kurt Russell, Zoë Bell, Rosario Dawson, Vanessa Ferlito",7.1,,2509,19.771428571428572
283,The Danish Girl,Tom Hooper,"Eddie Redmayne, Alicia Vikander, Amber Heard, Ben Whishaw",7.0,12.71,706975,9.439583027455587
284,Hercules,Brett Ratner,"Dwayne Johnson, John Hurt, Ian McShane, Joseph Fiennes",6.0,72.66,969511,13.122940430925222
285,Sucker Punch,Zack Snyder,"Emily Browning, Vanessa Hudgens, Abbie Cornish,Jena Malone",6.1,36.38,1590167,17.173387096774192
286,Keeping Up with the Joneses,Greg Mottola,"Zach Galifianakis, Isla Fisher, Jon Hamm, Gal Gadot",5.8,14.9,43839,28.75141242937853
287,Jupiter Ascending,Lana Wachowski,"Channing Tatum, Mila Kunis,Eddie Redmayne, Sean Bean",5.3,47.38,349729,12.367391304347827
288,Masterminds,Jared Hess,"Zach Galifianakis, Kristen Wiig, Owen Wilson, Ross Kimball",5.8,17.36,130267,12.782934131736527
289,Iris,Jalil Lespert,"Romain Duris, Charlotte Le Bon, Jalil Lespert, Camille Cottin",6.1,,57008,14.4
290,Busanhaeng,Sang-ho Yeon,"Yoo Gong, Soo-an Kim, Yu-mi Jung, Dong-seok Ma",7.5,2.13,364,24.756856931060046
291,Pitch Perfect,Jason Moore,"Anna Kendrick, Brittany Snow, Rebel Wilson, Anna Camp",7.2,65.0,6081417,35.369369369369366
292,Neighbors 2: Sorority Rising,Nicholas Stoller,"Seth Rogen, Rose Byrne, Zac Efron, Chloë Grace Moretz",5.7,55.29,1987,32.660570592538406
293,The Exception,David Leveaux,"Lily James, Jai Courtney, Christopher Plummer, Loïs van Wijk",7.7,,1246,22.07603686635945
294,Man of Steel,Zack Snyder,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane",7.1,291.02,3874829,23.82283161300262
295,The Choice,Ross Katz,"Benjamin Walker, Teresa Palmer, Alexandra Daddario,Maggie Grace",6.6,18.71,258138,20.152428810720266
296,Ice Age: Collision Course,Mike Thurmeier,"Ray Romano, Denis Leary, John Leguizamo, Chris Wedge",5.7,64.06,17629047,11.872568745808183
297,The Devil Wears Prada,David Frankel,"Anne Hathaway, Meryl Streep, Adrian Grenier, Emily Blunt",6.8,124.73,2221716,35.516129032258064
298,The Infiltrator,Brad Furman,"Bryan Cranston, John Leguizamo, Diane Kruger, Amy Ryan",7.1,15.43,185688,30.69526627218935
299,There Will Be Blood,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds,Martin Stringer",8.1,40.22,372409,33.96590909090909
300,The Equalizer,Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour",7.2,101.53,515988,25.472727272727273
301,Lone Survivor,Peter Berg,"Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster",7.5,125.07,265796,11.944894651539709
302,The Cabin in the Woods,Drew Goddard,"Kristen Connolly, Chris Hemsworth, Anna Hutchison,Fran Kranz",7.0,42.04,661956,12.621578099838969
303,The House Bunny,Fred Wolf,"Anna Faris, Colin Hanks, Emma Stone, Kat Dennings",5.5,48.24,76616,34.09756097560975
304,She's Out of My League,Jim Field Smith,"Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel",6.4,31.58,0,0.0
305,Inherent Vice,Paul Thomas Anderson,"Joaquin Phoenix, Josh Brolin, Owen Wilson,Katherine Waterston",6.7,8.09,62145,11.544477028347996
306,Alice Through the Looking Glass,James Bobin,"Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway",6.2,77.04,15112217,26.574092741935484
307,Vincent N Roxxy,Gary Michael Schultz,"Emile Hirsch, Zoë Kravitz, Zoey Deutch,Emory Cohen",5.5,,0,25.166666666666668
308,The Fast and the Furious: Tokyo Drift,Justin Lin,"Lucas Black, Zachery Ty Bryan, Shad Moss, Damien Marzette",6.0,62.49,60746271,17.84090909090909
309,How to Be Single,Christian Ditter,"Dakota Johnson, Rebel Wilson, Leslie Mann, Alison Brie",6.1,46.81,355842,24.003205128205128
310,The Blind Side,John Lee Hancock,"Quinton Aaron, Sandra Bullock, Tim McGraw,Jae Head",7.7,255.95,8411238,84.80790960451978
311,La vie d'Adèle,Abdellatif Kechiche,"Léa Seydoux, Adèle Exarchopoulos, Salim Kechiouche, Aurélien Recoing",7.8,2.2,64862,12.785046728971963
312,The Babadook,Jennifer Kent,"Essie Davis, Noah Wiseman, Daniel Henshall, Hayley McElhinney",6.8,0.92,26444,15.858575197889182
313,The Hobbit: The Battle of the Five Armies,Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage,Cate Blanchett",7.4,255.11,14200,35.340323767476086
314,Harry Potter and the Order of the Phoenix,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson",7.5,292.0,4898,48.050632911392405
315,Snowpiercer,Bong Joon Ho,"Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris",7.0,4.56,103347,20.760824742268042
316,The 5th Wave,J Blakeson,"Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez,Bailey Anne Borders",5.2,34.91,706643,17.38340978593272
317,The Stakelander,Dan Berk,"Connor Paolo, Nick Damici, Laura Abramsen, A.C. Peterson",5.3,,4633,15.866666666666667
318,The Visit,M. Night Shyamalan,"Olivia DeJonge, Ed Oxenbould, Deanna Dunagan, Peter McRobbie",6.2,65.07,809901,8.5288256227758
319,Fast Five,Justin Lin,"Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster",7.3,209.81,694,17.621052631578948
320,Step Up,Anne Fletcher,"Channing Tatum, Jenna Dewan Tatum, Damaine Radcliff, De'Shawn Washington",6.5,65.27,18590070,16.144144144144143
321,Lovesong,So Yong Kim,"Riley Keough, Jena Malone, Jessie Ok Gray, Cary Joji Fukunaga",6.4,0.01,1029,5.8
322,RocknRolla,Guy Ritchie,"Gerard Butler, Tom Wilkinson, Idris Elba, Thandie Newton",7.3,5.69,280801,9.811764705882354
323,In Time,Andrew Niccol,"Justin Timberlake, Amanda Seyfried, Cillian Murphy,Olivia Wilde",6.7,37.55,126240,18.797894736842107
324,The Social Network,David Fincher,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake,Rooney Mara",7.7,96.92,0,19.519490851233094
325,The Last Witch Hunter,Breck Eisner,"Vin Diesel, Rose Leslie, Elijah Wood, Ólafur Darri Ólafsson",6.0,27.36,439749,16.888698630136986
326,Victor Frankenstein,Paul McGuigan,"Daniel Radcliffe, James McAvoy, Jessica Brown Findlay, Andrew Scott",6.0,5.77,90622,16.70400878638111
327,A Street Cat Named Bob,Roger Spottiswoode,"Luke Treadaway, Bob the Cat, Ruta Gedmintas, Joanne Froggatt",7.4,0.04,579314,55.022222222222226
328,Green Room,Jeremy Saulnier,"Anton Yelchin, Imogen Poots, Alia Shawkat,Patrick Stewart",7.0,3.22,68421,9.954545454545455
329,Blackhat,Michael Mann,"Chris Hemsworth, Viola Davis, Wei Tang, Leehom Wang",5.4,7.1,956152,8.750617283950618
330,Storks,Nicholas Stoller,"Andy Samberg, Katie Crown,Kelsey Grammer, Jennifer Aniston",6.9,72.66,342153,20.53731343283582
331,American Sniper,Clint Eastwood,"Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis",7.3,350.12,2293342,8.159622195985833
332,Dallas Buyers Club,Jean-Marc Vallée,"Matthew McConaughey, Jennifer Garner, Jared Leto, Steve Zahn",8.0,27.3,403779,24.46067415730337
333,Lincoln,Steven Spielberg,"Daniel Day-Lewis, Sally Field, David Strathairn,Joseph Gordon-Levitt",7.4,182.2,421212,15.153508771929825
334,Rush,Ron Howard,"Daniel Brühl, Chris Hemsworth, Olivia Wilde,Alexandra Maria Lara",8.1,26.9,645850,24.317073170731707
335,Before I Wake,Mike Flanagan,"Kate Bosworth, Thomas Jane, Jacob Tremblay,Annabeth Gish",6.1,,64040,27.94718909710392
336,Silver Linings Playbook,David O. Russell,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver",7.8,132.09,104616,31.58490566037736
337,Tracktown,Alexi Pappas,"Alexi Pappas, Chase Offerle, Rachel Dratch, Andy Buckley",5.9,,3337,18.89189189189189
338,The Fault in Our Stars,Josh Boone,"Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern",7.8,124.87,11015944,74.26905829596413
339,Blended,Frank Coraci,"Adam Sandler, Drew Barrymore, Wendi McLendon-Covey, Kevin Nealon",6.5,46.28,467244,11.356390288593678
340,Fast & Furious,Justin Lin,"Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster",6.6,155.02,60746270,17.65174129353234
341,Looper,Rian Johnson,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano",7.4,66.47,950825,24.572710951526034
342,White House Down,Roland Emmerich,"Channing Tatum, Jamie Foxx, Maggie Gyllenhaal,Jason Clarke",6.4,73.1,659608,7.738831615120275
343,Pete's Dragon,David Lowery,"Bryce Dallas Howard, Robert Redford, Oakes Fegley,Oona Laurence",6.8,76.2,183428,11.135593220338983
344,Spider-Man 3,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church",6.2,336.53,7274,0.0
345,The Three Musketeers,Paul W.S. Anderson,"Logan Lerman, Matthew Macfadyen, Ray Stevenson, Milla Jovovich",5.8,20.32,535042,12.0
346,Stardust,Matthew Vaughn,"Charlie Cox, Claire Danes, Sienna Miller, Ian McKellen",7.7,38.35,626,0.0
347,American Hustle,David O. Russell,"Christian Bale, Amy Adams, Bradley Cooper,Jennifer Lawrence",7.3,150.12,668637,11.587759815242494
348,Jennifer's Body,Karyn Kusama,"Megan Fox, Amanda Seyfried, Adam Brody, Johnny Simmons",5.1,16.2,0,13.533980582524272
349,Midnight in Paris,Woody Allen,"Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller",7.7,56.82,735974,26.43076923076923
350,Lady Macbeth,William Oldroyd,"Florence Pugh, Christopher Fairbank, Cosmo Jarvis, Naomi Ackie",7.3,,12782,28.905537459283387
351,Joy,David O. Russell,"Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar Ramírez",6.6,56.44,232864,12.620317002881844
352,The Dressmaker,Jocelyn Moorhouse,"Kate Winslet, Judy Davis, Liam Hemsworth,Hugo Weaving",7.1,2.02,89972,24.185897435897434
353,Café Society,Woody Allen,"Jesse Eisenberg, Kristen Stewart, Steve Carell, Blake Lively",6.7,11.08,44410,14.921052631578947
354,Insurgent,Robert Schwentke,"Shailene Woodley, Ansel Elgort, Theo James,Kate Winslet",6.3,130.0,5837295,25.14982224479431
355,Seventh Son,Sergei Bodrov,"Ben Barnes, Julianne Moore, Jeff Bridges, Alicia Vikander",5.5,17.18,322363,11.301775147928995
356,Demain tout commence,Hugo Gélin,"Omar Sy, Clémence Poésy, Antoine Bertrand, Ashley Walters",7.4,,72042,11.647058823529411
357,The Theory of Everything,James Marsh,"Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry",7.7,35.89,765547,70.14698795180723
358,This Is the End,Evan Goldberg,"James Franco, Jonah Hill, Seth Rogen,Jay Baruchel",6.6,101.47,108391,42.77857142857143
359,About Time,Richard Curtis,"Domhnall Gleeson, Rachel McAdams, Bill Nighy,Lydia Wilson",7.8,15.29,429360,46.18013856812933
360,Step Brothers,Adam McKay,"Will Ferrell, John C. Reilly, Mary Steenburgen,Richard Jenkins",6.9,100.47,9180207,21.728395061728396
361,Clown,Jon Watts,"Andy Powers, Laura Allen, Peter Stormare, Christian Distefano",5.7,0.05,740,11.428419936373277
362,Star Trek Into Darkness,J.J. Abrams,"Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch",7.8,228.76,3770921,20.511533242876528
363,Zombieland,Ruben Fleischer,"Jesse Eisenberg, Emma Stone, Woody Harrelson,Abigail Breslin",7.7,75.59,34243,18.528428093645484
364,"Hail, Caesar!",Ethan Coen,"Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes",6.3,30.0,202333,11.276683937823835
365,Slumdog Millionaire,Danny Boyle,"Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor",8.0,141.32,2569902,18.076286764705884
366,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli",5.5,292.3,14238032,2.5
367,American Wrestler: The Wizard,Alex Ranarivelo,"William Fichtner, Jon Voight, Lia Marie Johnson,Gabriel Basso",6.9,,103106,12.170731707317072
368,The Amazing Spider-Man,Marc Webb,"Andrew Garfield, Emma Stone, Rhys Ifans, Irrfan Khan",7.0,262.03,20603631,9.749752964426877
369,Ben-Hur,Timur Bekmambetov,"Jack Huston, Toby Kebbell, Rodrigo Santoro,Nazanin Boniadi",5.7,26.38,249661,2.0755684969495287
370,Sleight,J.D. Dillard,"Jacob Latimore, Seychelle Gabriel, Dulé Hill, Storm Reid",6.0,3.85,136059,21.22249388753056
371,The Maze Runner,Wes Ball,"Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster",6.8,102.41,4202635,38.91881566380134
372,Criminal,Ariel Vromen,"Kevin Costner, Ryan Reynolds, Gal Gadot, Gary Oldman",6.3,14.27,24528,25.677914110429448
373,Wanted,Timur Bekmambetov,"Angelina Jolie, James McAvoy, Morgan Freeman, Terence Stamp",6.7,134.57,2843,20.246511627906976
374,Florence Foster Jenkins,Stephen Frears,"Meryl Streep, Hugh Grant, Simon Helberg, Rebecca Ferguson",6.9,27.37,44234,24.83266932270916
375,Collide,Eran Creevy,"Nicholas Hoult, Felicity Jones, Anthony Hopkins, Ben Kingsley",5.7,2.2,3169,9.487623762376238
